n_bits,threads,avg_cbs_ms,avg_lut_ms,avg_total_ms,iters
24,1,249.589591,1872.180891,2121.770482,2
24,1,234.232976,1918.745182,2152.978157,2
24,1,271.227722,1934.648675,2205.876398,2
24,1,260.355851,1865.073559,2125.429410,2
24,1,248.675622,1918.409764,2167.085386,2
24,1,252.095118,1874.934381,2127.029498,2
24,1,263.273480,1901.359528,2164.633008,2
24,1,266.434285,1870.025431,2136.459717,2
24,2,167.073625,956.829750,1123.903375,1
24,2,160.318325,992.255556,1152.573881,1
24,2,140.553044,960.256756,1100.809800,2
24,2,135.530711,947.187441,1082.718152,3
24,2,129.316266,937.380168,1066.696434,4
24,2,127.137313,938.236737,1065.374050,5
24,2,128.067680,940.142871,1068.210551,6
24,2,123.608548,937.756120,1061.364668,7
24,2,139.351869,983.329883,1122.681752,8
24,2,139.666364,1008.366237,1148.032601,9
24,2,139.366243,981.573854,1120.940097,10
24,4,89.885651,680.116622,770.002273,1
24,4,83.265839,631.594705,714.860545,2
24,4,85.294426,633.913812,719.208238,4
24,4,83.542725,630.981729,714.524455,6
24,4,90.710469,642.468061,733.178529,8
24,4,104.924150,707.696455,812.620606,10
24,4,95.885541,664.510698,760.396239,12
24,4,87.658729,641.847164,729.505893,14
24,4,88.933561,642.452567,731.386129,16
24,4,94.390091,646.247833,740.637924,18
24,4,84.508715,623.408616,707.917331,20
24,8,47.017746,341.823738,388.841484,1
24,8,48.584812,337.109636,385.694447,2
24,8,45.704702,333.025093,378.729795,4
24,8,46.741825,339.472685,386.214510,6
24,8,48.188384,335.033949,383.222333,8
24,8,49.397716,330.208030,379.605746,10
24,8,47.201327,333.717785,380.919111,12
24,8,48.692942,330.650372,379.343314,14
24,8,48.432741,333.205396,381.638137,16
24,8,49.711805,338.743054,388.454859,18
24,8,48.431480,335.587932,384.019412,20
